id,word,plural,cmuarpaInputIds,cmuarpaPluralInputIds,cmuarpaVisemes,cmuarpaPluralVisemes
016ea44c-d46e-4aaf-b75e-b51423a730f8,civilization,civilizations,"[78, 57, 90, 20, 64, 55, 93, 49, 79, 20, 66]","[78, 57, 90, 20, 64, 55, 93, 49, 79, 20, 66, 93]","['S', 'E', 'F', 'A', 'S', 'E', 'S', 'A', 'S', 'A', 'S']","['S', 'E', 'F', 'A', 'S', 'E', 'S', 'A', 'S', 'A', 'S', 'S']"
0170d452-3a5f-4547-b88d-0980261ee98a,outgrow,outgrows,"[30, 80, 52, 77, 70]","[30, 80, 52, 77, 70, 93]","['O', 'S', 'S', 'Q', 'O']","['O', 'S', 'S', 'Q', 'O', 'S']"
0170fcda-69c5-4b9e-b2cc-e22e446041f7,squeeze,squeezes,"[78, 63, 91, 60, 93]","[78, 63, 91, 60, 93, 55, 93]","['S', 'S', 'Q', 'E', 'S']","['S', 'S', 'Q', 'E', 'S', 'E', 'S']"
0172bae5-132e-4ce8-b78e-661c510d1032,farce,farces,"[51, 13, 77, 78]","[51, 13, 77, 78, 20, 93]","['F', 'O', 'Q', 'S']","['F', 'O', 'Q', 'S', 'A', 'S']"
0173ed52-de56-4746-b995-fa837b3a4116,preheat,preheats,"[76, 77, 60, 53, 50, 80]","[76, 77, 60, 53, 50, 80, 78]","['F', 'Q', 'E', 'A', 'A', 'S']","['F', 'Q', 'E', 'A', 'A', 'S', 'S']"
01767279-f5c2-4268-9b34-061e0c4fa81c,tube,tubes,"[80, 88, 35]","[80, 88, 35, 93]","['S', 'Q', 'S']","['S', 'Q', 'S', 'S']"
01768d05-ed70-48e5-86c5-01184ffd3dc7,scold,scolds,"[78, 63, 70, 64, 37]","[78, 63, 70, 64, 37, 93]","['S', 'S', 'O', 'S', 'S']","['S', 'S', 'O', 'S', 'S', 'S']"
017a9348-eb51-4baf-98e5-2bf098911f68,homeless,homelesses,"[53, 70, 65, 64, 20, 78]","[53, 70, 65, 64, 20, 78, 55, 93]","['A', 'O', 'F', 'S', 'A', 'S']","['A', 'O', 'F', 'S', 'A', 'S', 'E', 'S']"
017dfe4b-149f-4bb8-9a80-3d1c3b92e897,off,offs,"[25, 51]","[25, 51, 78]","['O', 'F']","['O', 'F', 'S']"
01879989-2124-4987-94c5-a24ab8b91629,correctly,correctlies,"[63, 44, 41, 63, 80, 64, 59]","[63, 44, 41, 63, 80, 64, 59, 93]","['S', 'E', 'E', 'S', 'S', 'S', 'E']","['S', 'E', 'E', 'S', 'S', 'S', 'E', 'S']"
0187c70c-6ec5-410e-ba93-9cd29557006d,nickname,nicknames,"[66, 56, 63, 66, 50, 65]","[66, 56, 63, 66, 50, 65, 93]","['S', 'E', 'S', 'S', 'A', 'F']","['S', 'E', 'S', 'S', 'A', 'F', 'S']"
0188b81d-13f3-4221-a4bb-104363658773,all,alls,"[25, 64]","[25, 64, 93]","['O', 'S']","['O', 'S', 'S']"
0188f142-352a-4de5-84bf-61f8ad6cccfd,them,them,"[38, 41, 65]","[38, 41, 65]","['S', 'E', 'F']","['S', 'E', 'F']"
018f0f36-41cd-4abe-8d28-885bb96ffa36,pot,pots,"[76, 13, 80]","[76, 13, 80, 78]","['F', 'O', 'S']","['F', 'O', 'S', 'S']"
01908436-3c58-4918-8806-600a09c9c81f,jeep,jeeps,"[62, 60, 76]","[62, 60, 76, 78]","['S', 'E', 'F']","['S', 'E', 'F', 'S']"
019525ce-a225-4dd9-8fe2-b974e3798029,consortium,consortiums,"[63, 20, 66, 78, 25, 77, 79, 59, 20, 65]","[63, 20, 66, 78, 25, 77, 79, 20, 65, 93]","['S', 'A', 'S', 'S', 'O', 'Q', 'S', 'E', 'A', 'F']","['S', 'A', 'S', 'S', 'O', 'Q', 'S', 'A', 'F', 'S']"
019af65a-b508-4c88-b909-033c516551ec,above,aboves,"[20, 35, 21, 90]","[20, 35, 21, 90, 93]","['A', 'S', 'A', 'F']","['A', 'S', 'A', 'F', 'S']"
019d4d22-e6ee-4612-b45d-aabdeb431450,prompt,prompts,"[76, 77, 13, 65, 76, 80]","[76, 77, 13, 65, 76, 80, 78]","['F', 'Q', 'O', 'F', 'F', 'S']","['F', 'Q', 'O', 'F', 'F', 'S', 'S']"
